Port Name,In FreeBSD Security,In BlackArch Porting
0trace,NÃO,SIM
3proxy,NÃO,SIM
3proxy-win32,NÃO,SIM
42zip,NÃO,SIM
a2sv,NÃO,SIM
abcd,NÃO,SIM
above,NÃO,SIM
abuse-ssl-bypass-waf,NÃO,SIM
acccheck,NÃO,SIM
ace,NÃO,SIM
aclpwn,NÃO,SIM
activedirectoryenum,NÃO,SIM
ad-ldap-enum,NÃO,SIM
ad-miner,NÃO,SIM
adape-script,NÃO,SIM
adaptix-c2,NÃO,SIM
adassault,NÃO,SIM
adenum,NÃO,SIM
adexplorersnapshot,NÃO,SIM
adfind,NÃO,SIM
adfspray,NÃO,SIM
adidnsdump,NÃO,SIM
admid-pack,NÃO,SIM
adminpagefinder,NÃO,SIM
admsnmp,NÃO,SIM
adpeas,NÃO,SIM
adversarial-robustness-toolbox,NÃO,SIM
aesfix,NÃO,SIM
aeskeyfind,NÃO,SIM
aesshell,NÃO,SIM
afflib,NÃO,SIM
agafi,NÃO,SIM
against,NÃO,SIM
aggroargs,NÃO,SIM
aiengine,NÃO,SIM
aimage,NÃO,SIM
aiodnsbrute,NÃO,SIM
air,NÃO,SIM
airflood,NÃO,SIM
airgeddon,NÃO,SIM
airopy,NÃO,SIM
airoscript,NÃO,SIM
airpwn,NÃO,SIM
airspyhf,NÃO,SIM
ajpfuzzer,NÃO,SIM
albatar,NÃO,SIM
allthevhosts,NÃO,SIM
altdns,NÃO,SIM
amap,NÃO,SIM
amass,NÃO,SIM
amber,NÃO,SIM
amoco,NÃO,SIM
analyzemft,NÃO,SIM
analyzepesig,NÃO,SIM
androbugs,NÃO,SIM
androguard,NÃO,SIM
androick,NÃO,SIM
android-apktool,NÃO,SIM
android-ndk,NÃO,SIM
android-sdk,NÃO,SIM
android-sdk-build-tools,NÃO,SIM
android-sdk-platform-tools,NÃO,SIM
android-udev-rules,NÃO,SIM
androidmeda,NÃO,SIM
androidpincrack,NÃO,SIM
androidsniffer,NÃO,SIM
androwarn,NÃO,SIM
angr,NÃO,SIM
angr-management,NÃO,SIM
angr-py2,NÃO,SIM
angrop,NÃO,SIM
anontwi,NÃO,SIM
anti-xss,NÃO,SIM
antiransom,NÃO,SIM
anubis-netsec,NÃO,SIM
apache-tika,NÃO,SIM
apache-users,NÃO,SIM
apachetomcatscanner,NÃO,SIM
apacket,NÃO,SIM
aphopper,NÃO,SIM
apkleaks,NÃO,SIM
apkstat,NÃO,SIM
apkstudio,NÃO,SIM
apkurlgrep,NÃO,SIM
apnbf,NÃO,SIM
appmon,NÃO,SIM
apt2,NÃO,SIM
aptdec,NÃO,SIM
aquatone,NÃO,SIM
arachni,NÃO,SIM
aranea,NÃO,SIM
arcane,NÃO,SIM
archivebox,NÃO,SIM
ares,NÃO,SIM
argus,NÃO,SIM
argus-clients,NÃO,SIM
arjun,NÃO,SIM
armitage,NÃO,SIM
armor,NÃO,SIM
armscgen,NÃO,SIM
arpalert,NÃO,SIM
arpantispoofer,NÃO,SIM
arping-th,NÃO,SIM
arpoison,NÃO,SIM
arpon,NÃO,SIM
arpspoof-smikims,NÃO,SIM
arpstraw,NÃO,SIM
arptools,NÃO,SIM
arpwner,NÃO,SIM
artillery,NÃO,SIM
artlas,NÃO,SIM
asleap,NÃO,SIM
asn,NÃO,SIM
asnmap,NÃO,SIM
asp-audit,NÃO,SIM
aspisec,NÃO,SIM
assassingo,NÃO,SIM
assetfinder,NÃO,SIM
assetnote-wordlists,NÃO,SIM
astra,NÃO,SIM
atear,NÃO,SIM
athena-ssl-scanner,NÃO,SIM
atlas,NÃO,SIM
atscan,NÃO,SIM
atstaketools,NÃO,SIM
attacksurfacemapper,NÃO,SIM
attk,NÃO,SIM
aurebeshjs,NÃO,SIM
auto-eap,NÃO,SIM
auto-xor-decryptor,NÃO,SIM
