Port Name,In FreeBSD Security,In BlackArch Porting
0d1n,SIM,SIM
0trace,NÃO,SIM
1password-client,SIM,NÃO
1password-client2,SIM,NÃO
1password-client2-beta,SIM,NÃO
2fa,SIM,NÃO
3proxy,NÃO,SIM
3proxy-win32,NÃO,SIM
42zip,NÃO,SIM
ADMsmb,SIM,NÃO
ADMsnmp,SIM,NÃO
R-cran-ROAuth,SIM,NÃO
R-cran-askpass,SIM,NÃO
R-cran-credentials,SIM,NÃO
R-cran-digest,SIM,NÃO
R-cran-gitcreds,SIM,NÃO
R-cran-openssl,SIM,NÃO
R-cran-sodium,SIM,NÃO
a2sv,NÃO,SIM
abcd,NÃO,SIM
above,NÃO,SIM
abuse-ssl-bypass-waf,NÃO,SIM
acccheck,NÃO,SIM
ace,NÃO,SIM
aclpwn,NÃO,SIM
acme.sh,SIM,NÃO
acmed,SIM,NÃO
acmetool,SIM,NÃO
activedirectoryenum,NÃO,SIM
ad-ldap-enum,NÃO,SIM
ad-miner,NÃO,SIM
adape-script,NÃO,SIM
adaptix-c2,NÃO,SIM
adassault,NÃO,SIM
adenum,NÃO,SIM
adexplorersnapshot,NÃO,SIM
adfind,NÃO,SIM
adfspray,NÃO,SIM
adidnsdump,NÃO,SIM
admid-pack,NÃO,SIM
adminpagefinder,NÃO,SIM
admsnmp,NÃO,SIM
adpeas,NÃO,SIM
adversarial-robustness-toolbox,NÃO,SIM
aescrypt,SIM,NÃO
aesfix,NÃO,SIM
aeskeyfind,NÃO,SIM
aespipe,SIM,SIM
aesshell,NÃO,SIM
afflib,NÃO,SIM
afl++,SIM,NÃO
afterglow,SIM,NÃO
agafi,NÃO,SIM
against,NÃO,SIM
agave,SIM,NÃO
age,SIM,NÃO
aggroargs,NÃO,SIM
aide,SIM,NÃO
aiengine,NÃO,SIM
aimage,NÃO,SIM
aiodnsbrute,NÃO,SIM
air,NÃO,SIM
airflood,NÃO,SIM
airgeddon,NÃO,SIM
airopy,NÃO,SIM
airoscript,NÃO,SIM
airpwn,NÃO,SIM
airspyhf,NÃO,SIM
ajpfuzzer,NÃO,SIM
albatar,NÃO,SIM
allthevhosts,NÃO,SIM
altdns,NÃO,SIM
amap,NÃO,SIM
amass,NÃO,SIM
amavisd-milter,SIM,NÃO
amavisd-new,SIM,NÃO
amber,NÃO,SIM
amoco,NÃO,SIM
analyzemft,NÃO,SIM
analyzepesig,NÃO,SIM
androbugs,NÃO,SIM
androguard,NÃO,SIM
androick,NÃO,SIM
android-apktool,NÃO,SIM
android-ndk,NÃO,SIM
android-sdk,NÃO,SIM
android-sdk-build-tools,NÃO,SIM
android-sdk-platform-tools,NÃO,SIM
android-udev-rules,NÃO,SIM
androidmeda,NÃO,SIM
androidpincrack,NÃO,SIM
androidsniffer,NÃO,SIM
androwarn,NÃO,SIM
angr,NÃO,SIM
angr-management,NÃO,SIM
angr-py2,NÃO,SIM
angrop,NÃO,SIM
anontwi,NÃO,SIM
anti-xss,NÃO,SIM
antiransom,NÃO,SIM
